timestamp,sender,message,message_type,client_id,client_name
0,client,I'm experiencing problems with login,initial,1,Uma_Lewis_0001
46,client,That's very helpful.,response,1,Uma_Lewis_0001
105,server,Server response 1,response,1,Uma_Lewis_0001
183,client,I think I understand better now.,response,1,Uma_Lewis_0001
393,server,Server response 2,response,1,Uma_Lewis_0001
694,client,Let me test that.,response,1,Uma_Lewis_0001
1297,server,Server response 3,response,1,Uma_Lewis_0001
2432,client,I appreciate your patience.,response,1,Uma_Lewis_0001
4448,server,Server response 4,response,1,Uma_Lewis_0001
8206,client,That's very helpful.,response,1,Uma_Lewis_0001
15141,server,Server response 5,response,1,Uma_Lewis_0001
27849,client,That's not quite what I meant.,response,1,Uma_Lewis_0001
51230,server,Server response 6,response,1,Uma_Lewis_0001
94260,client,That's exactly what I needed.,response,1,Uma_Lewis_0001
173368,server,Server response 7,response,1,Uma_Lewis_0001
318862,client,Could you clarify that?,response,1,Uma_Lewis_0001
586523,server,Server response 8,response,1,Uma_Lewis_0001
1078784,client,I think I understand better now.,response,1,Uma_Lewis_0001
1984215,server,Server response 9,response,1,Uma_Lewis_0001
3649563,client,I'll implement that change.,response,1,Uma_Lewis_0001
6712576,server,Server response 10,response,1,Uma_Lewis_0001
12346408,client,Could you clarify that?,response,1,Uma_Lewis_0001
22708574,server,Server response 11,response,1,Uma_Lewis_0001
41767609,client,I'll follow up if I need more help.,response,1,Uma_Lewis_0001
76822610,server,Server response 12,response,1,Uma_Lewis_0001
141298850,client,I'll follow up if I need more help.,response,1,Uma_Lewis_0001
259889086,server,Server response 13,response,1,Uma_Lewis_0001
478010564,client,Thanks for the quick response!,response,1,Uma_Lewis_0001
879198527,server,Server response 14,response,1,Uma_Lewis_0001
1617098211,client,I'm still having issues.,response,1,Uma_Lewis_0001
2974307328,server,Server response 15,response,1,Uma_Lewis_0001
5470604125,client,I'll follow up if I need more help.,response,1,Uma_Lewis_0001
10062009679,server,Server response 16,response,1,Uma_Lewis_0001
18506921140,client,That's very helpful.,response,1,Uma_Lewis_0001
34039534982,server,Server response 17,response,1,Uma_Lewis_0001
62608465814,client,"Great service, thanks!",response,1,Uma_Lewis_0001
115154921989,server,Server response 18,response,1,Uma_Lewis_0001
211802922820,client,That worked perfectly!,response,1,Uma_Lewis_0001
389566310666,server,Server response 19,response,1,Uma_Lewis_0001
716524155521,client,"Great service, thanks!",response,1,Uma_Lewis_0001
1317893389066,server,Server response 20,response,1,Uma_Lewis_0001
2423983855296,client,I understand now.,response,1,Uma_Lewis_0001
2423983855313,client,Rating: 5,rating,1,Uma_Lewis_0001
0,client,Can you help me reset my password?,initial,2,Ivy_Baker_0002
8,client,That solved my problem.,response,2,Ivy_Baker_0002
16,server,Server response 1,response,2,Ivy_Baker_0002
26,client,Can you provide more details?,response,2,Ivy_Baker_0002
59,server,Server response 2,response,2,Ivy_Baker_0002
108,client,"Perfect, that's clear now.",response,2,Ivy_Baker_0002
195,server,Server response 3,response,2,Ivy_Baker_0002
370,client,Thanks for the quick response!,response,2,Ivy_Baker_0002
682,server,Server response 4,response,2,Ivy_Baker_0002
1248,client,Can you provide more details?,response,2,Ivy_Baker_0002
2305,server,Server response 5,response,2,Ivy_Baker_0002
2333,client,Rating: 2,rating,2,Ivy_Baker_0002
0,client,I'm experiencing problems with login,initial,3,Sage_Clark_0003
90,client,Could you clarify that?,response,3,Sage_Clark_0003
190,server,Server response 1,response,3,Sage_Clark_0003
342,client,I'm still having issues.,response,3,Sage_Clark_0003
689,server,Server response 2,response,3,Sage_Clark_0003
1254,client,I think I understand better now.,response,3,Sage_Clark_0003
2384,server,Server response 3,response,3,Sage_Clark_0003
4440,client,I think I understand better now.,response,3,Sage_Clark_0003
8168,server,Server response 4,response,3,Sage_Clark_0003
15049,client,Could you walk me through it again?,response,3,Sage_Clark_0003
27761,server,Server response 5,response,3,Sage_Clark_0003
51027,client,I'll follow up if I need more help.,response,3,Sage_Clark_0003
93869,server,Server response 6,response,3,Sage_Clark_0003
172711,client,Let me test that.,response,3,Sage_Clark_0003
317668,server,Server response 7,response,3,Sage_Clark_0003
584283,client,Thanks for the quick response!,response,3,Sage_Clark_0003
1074736,server,Server response 8,response,3,Sage_Clark_0003
1976722,client,Thanks for the quick response!,response,3,Sage_Clark_0003
3635851,server,Server response 9,response,3,Sage_Clark_0003
6687420,client,I understand now.,response,3,Sage_Clark_0003
12300068,server,Server response 10,response,3,Sage_Clark_0003
22623374,client,Could you clarify that?,response,3,Sage_Clark_0003
41610979,server,Server response 11,response,3,Sage_Clark_0003
76534512,client,That's very helpful.,response,3,Sage_Clark_0003
140768914,server,Server response 12,response,3,Sage_Clark_0003
258914524,client,I'll follow up if I need more help.,response,3,Sage_Clark_0003
476218030,server,Server response 13,response,3,Sage_Clark_0003
875901535,client,I appreciate your patience.,response,3,Sage_Clark_0003
875901558,client,Rating: 4,rating,3,Sage_Clark_0003
0,client,My account is not working properly,initial,4,Yara_Campbell_0004
54,client,Let me test that.,response,4,Yara_Campbell_0004
111,server,Server response 1,response,4,Yara_Campbell_0004
284,client,I'm still having issues.,response,4,Yara_Campbell_0004
517,server,Server response 2,response,4,Yara_Campbell_0004
986,client,That's very helpful.,response,4,Yara_Campbell_0004
1872,server,Server response 3,response,4,Yara_Campbell_0004
3452,client,Let me try that solution.,response,4,Yara_Campbell_0004
6380,server,Server response 4,response,4,Yara_Campbell_0004
11753,client,I appreciate your patience.,response,4,Yara_Campbell_0004
21692,server,Server response 5,response,4,Yara_Campbell_0004
39932,client,Could you clarify that?,response,4,Yara_Campbell_0004
73479,server,Server response 6,response,4,Yara_Campbell_0004
135209,client,I'll follow up if I need more help.,response,4,Yara_Campbell_0004
248659,server,Server response 7,response,4,Yara_Campbell_0004
457393,client,Thanks for the quick response!,response,4,Yara_Campbell_0004
841358,server,Server response 8,response,4,Yara_Campbell_0004
1547454,client,Thanks for the quick response!,response,4,Yara_Campbell_0004
2846292,server,Server response 9,response,4,Yara_Campbell_0004
5235182,client,That's exactly what I needed.,response,4,Yara_Campbell_0004
9629003,server,Server response 10,response,4,Yara_Campbell_0004
17710548,client,That worked perfectly!,response,4,Yara_Campbell_0004
32574832,server,Server response 11,response,4,Yara_Campbell_0004
59914487,client,"Great service, thanks!",response,4,Yara_Campbell_0004
110199969,server,Server response 12,response,4,Yara_Campbell_0004
202689340,client,I appreciate your patience.,response,4,Yara_Campbell_0004
372803893,server,Server response 13,response,4,Yara_Campbell_0004
685693321,client,Could you walk me through it again?,response,4,Yara_Campbell_0004
1261186673,server,Server response 14,response,4,Yara_Campbell_0004
1261186701,client,Rating: 5,rating,4,Yara_Campbell_0004
